PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
NDG221326,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221351,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221369,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221407,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221482,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221911,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221946,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG221971,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG222110,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG222543,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG222721,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG223426,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG223485,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG223663,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG223671,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG223710,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG224562,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG225127,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG225453,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320001,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320002,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320008,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320009,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320044,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320087,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320095,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320109,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320125,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320133,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320168,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320192,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320206,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320249,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320265,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320311,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320338,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320346,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320354,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320362,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320401,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320419,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320427,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320435,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320443,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320451,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320460,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320478,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320508,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320516,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320567,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320656,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320664,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320672,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320699,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320711,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320737,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320761,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320796,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320800,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320818,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320842,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320851,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320869,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320877,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320885,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320893,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320907,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320915,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320923,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320940,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG320958,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321148,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321181,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321199,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321253,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321261,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321270,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321296,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321300,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321318,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321334,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321369,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321377,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321385,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321393,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321415,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321423,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321431,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321440,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321466,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321474,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321491,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321512,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321521,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321539,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321547,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321555,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321563,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321571,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321580,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321598,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321610,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321628,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321636,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321661,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321687,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321695,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321717,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321725,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321733,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321741,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321750,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321768,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321776,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321784,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321792,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321831,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321849,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321857,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321873,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321881,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321890,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321920,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321938,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321946,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321962,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321989,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG321997,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322004,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322012,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322021,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322047,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322055,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322063,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322071,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322098,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322128,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322136,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322152,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322195,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322217,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322233,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322250,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322276,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322306,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322314,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322357,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322365,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322373,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322403,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322411,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322420,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322438,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322446,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322454,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322489,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322527,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322535,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322551,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322560,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322594,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322691,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322705,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322713,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322764,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322772,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322900,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322951,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NDG322993,221320,Sewage Treatment Facilities,4952,Sewerage Systems
